Module,Entity,Schema,Table,Resolution
Documents,GeneratedDocumentEntity,document,generated_document,exact
Admissions,AdmissionDecisionEntity,,,UNRESOLVED
Admissions,ApplicantEntity,,,UNRESOLVED
Admissions,ApplicationEntity,,,UNRESOLVED
Admissions,InquiryEntity,,,UNRESOLVED
Tenancy,SubscriptionEntity,,,UNRESOLVED
Tenancy,TenantEntity,saas,tenant,exact
Tenancy,CampusBrandingEntity,saas,school_branding,semantic
Communication,NotificationPreferenceEntity,communication,NotificationPreferences,similar
Communication,MessageReceiptEntity,communication,message_receipt,exact
Communication,ChatMessageEntity,communication,chat_message,exact
Communication,ChatParticipantEntity,communication,chat_participant,exact
Communication,MessageEntity,communication,message,exact
Communication,ChatConversationEntity,communication,chat_conversation,exact
Communication,ConversationParticipantEntity,communication,conversation_participant,exact
Communication,NotificationEntity,communication,notification,exact
Communication,ConversationEntity,communication,conversation,exact
Communication,ChatAttachmentEntity,communication,ChatAttachments,similar
Payroll,SalaryStructureEntity,,,UNRESOLVED
Payroll,EmployeeCompensationEntity,hr,employee_compensation,semantic
Payroll,PayslipEntity,,,UNRESOLVED
Payroll,IncrementEntity,,,UNRESOLVED
Payroll,PayrollRunEntity,payroll,payroll_run,exact
Workflow,WorkflowDefinitionEntity,,,UNRESOLVED
Workflow,WorkflowInstanceEntity,,,UNRESOLVED
Workflow,ApprovalEntity,,,UNRESOLVED
Workflow,WorkflowStepEntity,,,UNRESOLVED
Examinations,StudentExamResultEntity,exam,student_exam_result,exact
Examinations,ExamSubjectEntity,exam,exam_subject,exact
Examinations,GradeScaleEntity,,,UNRESOLVED
Examinations,ExamEntity,exam,exam,exact
Transport,StudentTransportEntity,,,UNRESOLVED
Transport,StopEntity,,,UNRESOLVED
Transport,RouteEntity,transport,route,exact
Transport,DriverDirectoryReadEntity,public,driverdirectoryread,exact
Transport,DriverDocumentEntity,document,driverdocument,semantic
Transport,VehicleEntity,transport,vehicle,exact
Transport,DriverEntity,transport,driver,exact
Academics,TermEntity,academic,term,exact
Academics,ProgramEntity,academic,program,exact
Academics,AcademicSystemEntity,academic,academic_system,exact
Academics,SubjectEntity,academic,subject,exact
Academics,TeacherAssignmentEntity,academic,teacher_course_assignment,semantic
Academics,ClassSectionEntity,academic,class_section,exact
Academics,TimetableEntity,academic,timetable,exact
Academics,CourseSelectionEntity,student,student_course_enrollment,semantic
Academics,GradeLevelEntity,academic,grade_level,exact
Academics,AcademicYearEntity,academic,academic_year,exact
Academics,TimetableEntryEntity,academic,timetable_entry,exact
Academics,CourseOfferingEntity,academic,course_offering,exact
